id,Datetime,Data,Data_add,BarTrend,Barometer,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,SolarRad,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,RainStorm,HeatIndex,WindChill,THSWIndex,Station
55034,2023-01-01T00:05:03.670857,2023-01-01,2023-03-06,0.0,29.773,21.7,0,,185,87.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,22.8,21.7,21.7,1
55035,2023-01-01T00:35:03.989936,2023-01-01,2023-03-06,0.0,29.762,21.6,0,,185,87.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,22.8,21.7,21.7,1
55036,2023-01-01T01:05:04.165208,2023-01-01,2023-03-06,236.0,29.742,21.3,0,,185,87.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,22.2,21.1,21.7,1
55037,2023-01-01T01:35:03.601464,2023-01-01,2023-03-06,236.0,29.743,21.3,0,,185,88.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,22.2,21.1,21.7,1
55038,2023-01-01T02:35:03.923612,2023-01-01,2023-03-06,236.0,29.742,20.7,0,,185,88.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.7,20.6,21.1,1
55039,2023-01-01T03:05:03.393572,2023-01-01,2023-03-06,236.0,29.737,20.7,0,,185,88.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.7,20.6,21.1,1
55040,2023-01-01T03:35:03.731103,2023-01-01,2023-03-06,236.0,29.735,20.4,0,,185,88.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.7,20.6,21.1,1
55041,2023-01-01T04:05:03.878691,2023-01-01,2023-03-06,0.0,29.76,20.2,0,,185,89.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.1,20.0,20.6,1
55042,2023-01-01T04:35:03.376186,2023-01-01,2023-03-06,20.0,29.77,20.2,0,,185,89.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.1,20.0,20.6,1
55043,2023-01-01T05:05:03.550413,2023-01-01,2023-03-06,20.0,29.778,20.3,0,,185,89.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.1,20.6,20.6,1
55044,2023-01-01T05:35:03.906773,2023-01-01,2023-03-06,20.0,29.78,20.2,0,,185,89.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,21.1,20.0,20.6,1
55045,2023-01-01T06:05:04.126523,2023-01-01,2023-03-06,20.0,29.797,20.3,0,,185,89.0,,26.0,0.0,0.0,0.0,0.0,,0.0,,21.7,20.6,21.7,1
55046,2023-01-01T06:35:03.652553,2023-01-01,2023-03-06,60.0,29.814,20.8,0,,185,89.0,,42.0,0.2,0.2,0.2,0.0,,0.0,,21.7,21.1,21.7,1
55047,2023-01-01T07:05:03.927392,2023-01-01,2023-03-06,60.0,29.823,21.2,0,,195,88.0,,74.0,0.2,0.2,0.2,0.1,,0.0,,22.2,21.1,22.8,1
55048,2023-01-01T07:35:03.538590,2023-01-01,2023-03-06,20.0,29.828,22.4,0,,195,87.0,,399.0,0.2,0.2,0.2,0.1,,0.0,,23.3,22.2,27.8,1
55049,2023-01-01T08:05:03.929236,2023-01-01,2023-03-06,20.0,29.832,25.3,0,,175,81.0,,577.0,0.2,0.2,0.2,0.3,,0.0,,27.2,25.6,33.3,1
55050,2023-01-01T08:35:03.255857,2023-01-01,2023-03-06,20.0,29.836,26.7,0,,175,77.0,,316.0,0.2,0.2,0.2,0.3,,0.0,,28.9,26.7,32.2,1
55051,2023-01-01T09:05:03.476682,2023-01-01,2023-03-06,20.0,29.828,27.6,0,,175,75.0,,851.0,0.2,0.2,0.2,0.5,,0.0,,30.6,27.8,37.8,1
55052,2023-01-01T09:35:03.810114,2023-01-01,2023-03-06,0.0,29.823,27.9,0,,175,74.0,,740.0,0.2,0.2,0.2,0.5,,0.0,,31.1,27.8,38.3,1
55053,2023-01-01T10:05:03.239429,2023-01-01,2023-03-06,0.0,29.825,29.3,0,,229,71.0,,1071.0,0.2,0.2,0.2,1.0,,0.0,,33.9,29.4,41.1,1
